Time,Theta
0.00833333377,0.0582185052
0.0166666675,0.0578267016
0.0250000022,0.057452254
0.0333333351,0.0572331697
0.0416666679,0.0570305288
0.0500000007,0.0569826216
0.0583333336,0.0559110045
0.0666666701,0.0548539422
0.075000003,0.0539484248
0.0833333358,0.0530544929
0.0916666687,0.0523094013
0.100000001,0.051573433
0.108333334,0.0509840921
0.116666667,0.0504018553
0.125,0.0499645025
0.13333334,0.0495327041
0.141666681,0.0492444821
0.150000021,0.0489607193
0.158333361,0.0488196611
0.166666701,0.0476421304
0.175000042,0.0464667417
0.183333382,0.0454304032
0.191666722,0.0443928763
0.200000063,0.0434913002
0.208333403,0.0425856262
0.216666743,0.0418131724
0.225000083,0.0410340875
0.233333424,0.0403859243
0.241666764,0.0397289619
0.250000089,0.0392009541
0.258333415,0.0386623628
0.26666674,0.038251128
0.275000066,0.0378278606
0.283333391,0.0375307016
0.291666716,0.0372204222
0.300000042,0.0370353274
0.308333367,0.0357954428
0.316666692,0.0345399454
0.325000018,0.0334056914
0.333333343,0.0322522148
0.341666669,0.0312165692
0.349999994,0.0301584043
0.358333319,0.0292149223
0.366666645,0.0282459147
0.37499997,0.0273887236
0.383333296,0.0265032593
0.391666621,0.0257269982
0.399999946,0.0249199606
0.408333272,0.0242197495
0.416666597,0.0234864987
0.424999923,0.0228579249
0.433333248,0.0221942514
0.441666573,0.0216333177
0.449999899,0.0210354421
0.458333224,0.0205385722
0.466666549,0.0200031158
0.474999875,0.0195671078
0.4833332,0.0190910473
0.491666526,0.0187130664
0.499999851,0.0182937458
0.508333206,0.0179713089
0.516666532,0.0176064093
0.524999857,0.0173373595
0.533333182,0.017024897
0.541666508,0.0168074071
0.549999833,0.0165457036
0.558333158,0.0163782518
0.566666484,0.0161659364
0.574999809,0.0160473045
0.583333135,0.0158833023
0.59166646,0.0158125516
0.599999785,0.0146544734
0.608333111,0.0134490402
0.616666436,0.0123333056
0.624999762,0.0111667318
0.633333087,0.010086433
0.641666412,0.00895192102
0.649999738,0.00790036749
0.658333063,0.0067913197
0.666666389,0.00576199032
0.674999714,0.00467195595
0.683333039,0.00365846488
0.691666365,0.00258111279
0.69999969,0.0015771708
0.708333015,0.000506245939
0.716666341,-0.000494378677
0.724999666,-0.00156509224
0.733332992,-0.00256860955
0.741666317,-0.00364532438
0.749999642,-0.00361620961
0.758332968,-0.00352307782
0.766666293,-0.00350467605
0.774999619,-0.00342208892
0.783332944,-0.00341407978
0.791666269,-0.00334174815
0.799999595,-0.00334387319
0.80833292,-0.00328156957
0.816666245,-0.0032936323
0.824999571,-0.00324118976
0.833332896,-0.00326305139
0.841666222,-0.00322036142
0.849999547,-0.00325194397
