Time,Theta,ThetaDot,X,XDot
0.0083333333333333332,-3.083297603086343,-0.010480075165932327,-1.857860294000868e-06,-0.00047555778902761298
0.016666666666666666,-3.0839455634056359,-0.15398222152312169,-0.00026800346446950756,-0.067593610613280342
0.025000000000000001,-3.085788719027287,-0.29728070982418214,-0.0010934408712894729,-0.13470378965992011
0.033333333333333333,-3.0888245831358474,-0.44017319000317323,-0.0024780733729491185,-0.20179808633610297
0.041666666666666664,-3.0930489774664132,-0.58245585887805817,-0.004421736224684782,-0.26886812859871462
0.049999999999999996,-3.0984560175482425,-0.72392278991762626,-0.0069241929423807672,-0.33590501001809614
0.058333333333333327,-3.1050380925483014,-0.86436531345117251,-0.0099851302135479988,-0.40289912914919657
0.066666666666666666,-3.112785840202267,-1.0035714645623486,-0.013604151521316821,-0.46984004273864333
0.074999999999999997,-3.121688117465057,-1.1413255161066789,-0.017780769610685036,-0.53671633634420624
0.083333333333333329,-3.1317319676587236,-1.2774076143913504,-0.022514397956198438,-0.60351551597196751
0.09166666666666666,3.1402827221380445,-1.4115935349631619,-0.027804341420281327,-0.67022392432673361
0.099999999999999992,3.1280020293133659,-1.5436545755604787,-0.033649786321172021,-0.73682668520080652
0.10833333333333332,3.1146298760451185,-1.673357602483996,-0.04004979015825684,-0.80330767937146219
0.11666666666666665,3.100186836793728,-1.8004652653135174,-0.047003271269737017,-0.86964955511430198
0.12499999999999999,3.0846954792034786,-1.9247363929342849,-0.054508998722013813,-0.93583377604525897
0.13333333333333333,3.0681803937816596,-2.0459265811428495,-0.062565582750763835,-1.0018407084588636
0.14166666666666666,3.0506682179094606,-2.163788978612196,-0.071171466089083937,-1.0676497496202884
0.14999999999999999,3.032187652518715,-2.2780752736807188,-0.080324916526906293,-1.1332394975873894
0.15833333333333333,3.0127694697675391,-2.3885368793123583,-0.090024021046702984,-1.1985879620904287
0.16666666666666666,2.9924465100923112,-2.4949263077394943,-0.1002666818719725,-1.2636728147975551
0.17499999999999999,2.9712536671089205,-2.5969987198985032,-0.11105061474597974,-1.3284716759735393
0.18333333333333332,2.9492278589864358,-2.6945136280243593,-0.12237334972786129,-1.3929624331421964
0.19166666666666665,2.9264079851232827,-2.7872367229777826,-0.13423223475108831,-1.4571235859477527
0.19999999999999998,2.9028348672185835,-2.8749417913866901,-0.14662444213552142,-1.5209346100474541
0.20833333333333331,2.87855117414558,-2.9574126818830595,-0.15954697817962774,-1.5843763316355963
0.21666666666666665,2.8536013303926646,-3.0344452750102215,-0.17299669588527636,-1.6474313031799626
