Time,Theta
0.00833333377,0.291088104
0.0166666675,0.291219711
0.0250000022,0.29072246
0.0333333351,0.289595455
0.0416666679,0.28783673
0.0500000007,0.285443276
0.0583333336,0.282410771
0.0666666701,0.27873379
0.075000003,0.275400221
0.0833333358,0.272537291
0.0916666687,0.269012541
0.100000001,0.264819533
0.108333334,0.260950118
0.116666667,0.257531166
0.125,0.25342378
0.13333334,0.249623552
0.141666681,0.246257916
0.150000021,0.242184252
0.158333361,0.238401324
0.166666701,0.235037267
0.175000042,0.230945602
0.183333382,0.227128431
0.191666722,0.223714113
0.200000063,0.219552547
0.208333403,0.2156488
0.216666743,0.212131605
0.225000083,0.207847163
0.233333424,0.203803465
0.241666764,0.20012939
0.250000089,0.196684718
0.258333415,0.193599567
0.26666674,0.189715415
0.275000066,0.186045364
0.283333391,0.182719439
0.291666716,0.178575993
0.300000042,0.174630195
0.308333367,0.171012133
0.316666692,0.167580545
0.325000018,0.16446647
0.333333343,0.160503983
0.341666669,0.156712472
0.349999994,0.153222635
0.358333319,0.149892971
0.366666645,0.146855116
0.37499997,0.142939374
0.383333296,0.139168501
0.391666621,0.135673776
0.399999946,0.132313102
0.408333272,0.129218578
0.416666597,0.125216872
0.424999923,0.121333696
0.433333248,0.117700532
0.441666573,0.114174612
0.449999899,0.110888198
0.458333224,0.10769885
0.466666549,0.104739465
0.474999875,0.100832894
0.4833332,0.0970084146
0.491666526,0.0933981091
0.499999851,0.089858748
0.508333206,0.0865229964
0.516666532,0.0832478851
0.524999857,0.0801666006
0.533333182,0.0771364048
0.541666508,0.0742909759
0.549999833,0.0714878291
0.558333158,0.0688610524
0.566666484,0.0652294978
0.574999809,0.0616267063
0.583333135,0.0581856407
0.59166646,0.054762762
0.599999785,0.0514913946
0.608333111,0.0482281446
0.616666436,0.0451066792
0.624999762,0.0419837497
0.633333087,0.0389932878
0.641666412,0.0359921642
0.649999738,0.0331145674
0.658333063,0.0302174874
0.666666389,0.027435299
0.674999714,0.0246250872
0.683333039,0.0219214167
0.691666365,0.0191814397
0.69999969,0.0165398568
0.708333015,0.0138538927
0.716666341,0.0112583525
0.724999666,0.00861050002
0.733332992,0.00604522415
0.741666317,0.00341981277
0.749999642,0.000869208307
0.758332968,-0.00174929481
0.766666293,-0.00430073077
0.774999619,-0.0069278162
0.783332944,-0.00949558988
0.791666269,-0.012146797
0.799999595,-0.0147465058
0.80833292,-0.0174375158
0.816666245,-0.0200849511
0.824999571,-0.0228316728
0.833332896,-0.0255428944
0.841666222,-0.0283615664
0.849999547,-0.030111786
0.858332872,-0.0318375379
0.866666198,-0.033680249
0.874999523,-0.0355038345
0.883332849,-0.0374498479
0.891666174,-0.0393823683
0.899999499,-0.0414431058
0.908332825,-0.0434963219
0.91666615,-0.045683898
0.924999475,-0.0478703007
0.933332801,-0.0501975678
0.941666126,-0.0525304042
0.949999452,-0.0550110564
0.958332777,-0.0564646423
0.966666102,-0.0579333007
0.974999428,-0.0595579036
0.983332753,-0.0612022094
0.991666079,-0.0630073026
0.999999404,-0.0648372397
1.00833273,-0.0668333918
1.01666605,-0.0688600764
1.02499938,-0.071058929
1.03333271,-0.0722560659
1.04166603,-0.0734919757
1.04999936,-0.0749070346
1.05833268,-0.0763648003
1.06666601,-0.0780059472
1.07499933,-0.0796944275
1.08333266,-0.0815712065
1.09166598,-0.0824630782
1.09999931,-0.0834090337
1.10833263,-0.0845488831
1.11666596,-0.0857459307
1.12499928,-0.0871402994
1.13333261,-0.0885957032
1.14166594,-0.0902526602
1.14999926,-0.0909386426
1.15833259,-0.0916914344
1.16666591,-0.092650421
1.17499924,-0.0936787426
1.18333256,-0.0949161649
1.19166589,-0.0962262824
1.19999921,-0.097749263
1.20833254,-0.098313354
1.21666586,-0.0989553258
1.22499919,-0.0998142436
1.23333251,-0.100753225
1.24166584,-0.101911798
1.24999917,-0.103153512
1.25833249,-0.104618356
1.26666582,-0.105135463
1.27499914,-0.105740637
1.28333247,-0.106572792
1.29166579,-0.107495129
1.29999912,-0.108647019
1.30833244,-0.108857758
1.31666577,-0.109162167
1.32499909,-0.109698623
1.33333242,-0.110329971
1.34166574,-0.111195073
1.34999907,-0.111123212
1.3583324,-0.111148462
1.36666572,-0.111408696
1.37499905,-0.111766413
1.38333237,-0.112360023
1.3916657,-0.113052487
1.39999902,-0.113982715
1.40833235,-0.113980532
1.41666567,-0.114079714
1.424999,-0.114418201
1.43333232,-0.114858657
1.44166565,-0.115539551
1.44999897,-0.115290612
1.4583323,-0.115145028
1.46666563,-0.115240328
1.47499895,-0.115438849
1.48333228,-0.115878694
1.4916656,-0.115389273
1.49999893,-0.115003377
1.50833225,-0.11485818
1.51666558,-0.114815675
1.5249989,-0.115013592
1.53333223,-0.115314357
1.54166555,-0.115856245
1.54999888,-0.11546883
1.5583322,-0.115185045
1.56666553,-0.115142226
1.57499886,-0.115202539
1.58333218,-0.115503788
1.59166551,-0.114875183
1.59999883,-0.114349343
1.60833216,-0.114063248
1.61666548,-0.113878675
1.62499881,-0.113933131
1.63333213,-0.113055177
1.64166546,-0.112277322
1.64999878,-0.111736156
1.65833211,-0.111293085
1.66666543,-0.111085229
1.67499876,-0.110974438
1.68333209,-0.111098401
1.69166541,-0.110285327
1.69999874,-0.109568194
1.70833206,-0.109083764
1.71666539,-0.108693436
1.72499871,-0.108534493
1.73333204,-0.108468808
1.74166536,-0.108634159
1.74999869,-0.107858457
1.75833201,-0.107175067
1.76666534,-0.106720835
1.77499866,-0.106357194
1.78333199,-0.106221482
1.79166532,-0.105140813
1.79999864,-0.104148448
1.80833197,-0.103380777
1.81666529,-0.102698728
1.82499862,-0.102239221
1.83333194,-0.101863608
1.84166527,-0.101709291
1.84999859,-0.100602686
1.85833192,-0.0995776057
1.86666524,-0.0987704694
1.87499857,-0.0980420709
1.88333189,-0.0975293368
1.89166522,-0.097093448
1.89999855,-0.0968718082
1.90833187,-0.0956900567
1.9166652,-0.0945824832
1.92499852,-0.0936854556
1.93333185,-0.0928595811
1.94166517,-0.0922417119
1.9499985,-0.0916927755
1.95833182,-0.0913501084
1.96666515,-0.0900384262
1.97499847,-0.0887924656
1.9833318,-0.0877484977
1.99166512,-0.0867668018
1.99999845,-0.0859840959
2.00833178,-0.0852609947
2.01666522,-0.0847346187
2.02499866,-0.0842659399
2.03333211,-0.0839924738
2.04166555,-0.0827382058
2.049999,-0.0815387294
2.05833244,-0.0805304945
2.06666589,-0.0795737132
2.07499933,-0.078805238
2.08333278,-0.0780856088
2.09166622,-0.0775520578
2.09999967,-0.0760274082
2.10833311,-0.0745475218
2.11666656,-0.0732485056
2.125,-0.0719900578
2.13333344,-0.0709086508
2.14166689,-0.0698643103
2.15000033,-0.0689938441
2.15833378,-0.0681575313
2.16666722,-0.0674925447
2.17500067,-0.066859439
2.18333411,-0.0663957372
2.19166756,-0.0649232194
2.200001,-0.0634787977
2.20833445,-0.0621987991
2.21666789,-0.0609427877
2.22500134,-0.059847407
2.23333478,-0.0587724745
2.24166822,-0.0578549393
2.25000167,-0.0569548532
2.25833511,-0.0562094301
2.26666856,-0.0554789677
2.275002,-0.0549009591
2.28333545,-0.0543359332
2.29166889,-0.0539216436
2.30000234,-0.0524788871
2.30833578,-0.0510455668
2.31666923,-0.0497581325
2.32500267,-0.0484760441
2.33333611,-0.0473359972
2.34166956,-0.0461976379
2.350003,-0.0451979265
2.35833645,-0.0441966802
2.36666989,-0.0433310792
2.37500334,-0.0424611308
2.38333678,-0.0417242274
2.39167023,-0.0409805551
2.40000367,-0.0403677076
2.40833712,-0.0397460386
2.41667056,-0.0392533429
2.42500401,-0.037709333
2.43333745,-0.036152605
2.44167089,-0.0347195454
2.45000434,-0.0332692713
2.45833778,-0.0319383554
2.46667123,-0.0305860359
2.47500467,-0.02934907
2.48333812,-0.0280868039
2.49167156,-0.026936138
2.50000501,-0.0257565491
2.50833845,-0.0246850699
2.5166719,-0.0235812832
2.52500534,-0.0225823466
2.53333879,-0.0215479359
2.54167223,-0.0206153262
2.55000567,-0.0196442828
2.55833912,-0.0187721979
2.56667256,-0.017858902
2.57500601,-0.0170418806
2.58333945,-0.0161810629
2.5916729,-0.0154139977
2.60000634,-0.0146006821
2.60833979,-0.0138787515
2.61667323,-0.0131082628
2.62500668,-0.0124269249
2.63334012,-0.0116948457
2.64167356,-0.0110497978
2.65000701,-0.0103519373
2.65834045,-0.00973909255
2.6666739,-0.00907146838
2.67500734,-0.00848694053
2.68334079,-0.00784575287
2.69167423,-0.00728582218
2.70000768,-0.00666742679
2.70834112,-0.00612852117
2.71667457,-0.0055294144
2.72500801,-0.00500809122
2.73334146,-0.00442488352
2.7416749,-0.00391780352
2.75000834,-0.00334720314
2.75834179,-0.00285111391
2.76667523,-0.00228990428
2.77500868,-0.0018016207
2.78334212,-0.00124664244
2.79167557,-0.000763025775
2.80000901,-0.000211157021
