Time,Theta,ThetaDot,X,XDot
0.0083333333333333332,-3.0788048920260724,-0.01128612063537192,-2.0002070262419958e-06,-0.00051199451536771009
0.016666666666666666,-3.078423429542624,0.11043350225500385,0.00025204708466817967,0.065615761808126533
0.025000000000000001,-3.0780672009397816,-0.033975128966334769,0.00053651493154080357,-0.0015412098501363112
0.033333333333333333,-3.0789143812733779,-0.17834903517131695,0.00026134108511325168,-0.068696895197662547
0.041666666666666664,-3.080963893949082,-0.32248659567509136,-0.00057343376375110406,-0.13584359885889172
0.049999999999999996,-3.0842129792269324,-0.46618529861361269,-0.0019677040634627058,-0.20297340533531288
0.058333333333333327,-3.0886571839574266,-0.60924101950872145,-0.0039212968550053021,-0.27007799765618312
0.066666666666666666,-3.0942903454362458,-0.75144733629604465,-0.0064339677406722489,-0.33714848347798265
0.074999999999999997,-3.1011045697486117,-0.89259489804520453,-0.0095053954440232399,-0.40417523215258999
0.083333333333333329,-3.1090902051188398,-1.0324708648608951,-0.013135175066407805,-0.47114772634363844
0.09166666666666666,-3.118235810927362,-1.1708584366883892,-0.01732281017545766,-0.53805443182657797
0.099999999999999992,-3.1285281232057911,-1.307536488875876,-0.022067703891405235,-0.60488268914335219
0.10833333333333332,-3.1399520175692559,-1.4422793322703462,-0.027369149167690118,-0.67161863077673634
0.11666666666666665,3.1306948364874838,-1.5748566152324013,-0.03322631849263518,-0.73824712743901533
0.12499999999999999,3.117060785604532,-1.7050333841291188,-0.039638253268376944,-0.80475176691000472
0.13333333333333333,3.1023520731946523,-1.8325703174822277,-0.046603853150876284,-0.87111486858527509
0.14166666666666666,3.0865916456125513,-1.957224146897653,-0.054121865659668922,-0.93731753648320904
0.14999999999999999,3.0698044899504446,-2.078748275085319,-0.062190876386807356,-1.0033397528890216
0.15833333333333333,3.0520176587111347,-2.1968935976274424,-0.070809300149817025,-1.0691605140708491
0.16666666666666666,3.0332602868284742,-2.311409530643294,-0.079975373441972558,-1.1347580085815818
0.17499999999999999,3.0135635993279219,-2.4220452411563778,-0.089687148533319244,-1.2001098375652333
0.18333333333333332,2.9929609079698074,-2.5285510708889469,-0.099942489566235679,-1.2651932752363322
0.19166666666666665,2.9714875953208799,-2.6306801375535618,-0.11073907096877725,-1.329985566327589
0.19999999999999998,2.9491810848596445,-2.7281900907222467,-0.12207437847670811,-1.3944642558527036
0.20833333333333331,2.9260807959394732,-2.8208449923417085,-0.13394571301062896,-1.458607545069649
0.21666666666666665,2.9022280827093385,-2.9084172852986945,-0.14635019759811269,-1.5223946661295091
0.22499999999999998,2.8776661564206951,-2.9906898075322847,-0.15928478746309804,-1.5858062666395554
0.23333333333333331,2.8524399909227003,-3.0674578044608607,-0.17274628332749842,-1.6488247943423222
0.24166666666666664,2.8265962115550569,-3.1385308893384876,-0.18673134788529377,-1.7114348713969529
0.24999999999999997,2.8001829680739441,-3.203734899916487,-0.20123652532017278,-1.773623647415927
0.2583333333333333,2.7732497926746298,-3.2629136007021184,-0.2162582636474846,-1.8353811205121542
0.26666666666666666,2.7458474445861039,-3.3159301832904924,-0.23179293957360214,-1.8967004161764407
0.27500000000000002,2.7180277430894115,-3.3626685226607953,-0.24783688548466418,-1.9575780148323763
0.28333333333333338,2.6898433911345068,-3.4030341547778744,-0.26438641810580055,-2.0180139203723604
0.29166666666666674,2.6613477919845723,-3.4369549499772631,-0.28143786831470535,-2.078011763801852
0.3000000000000001,2.6325948614896855,-3.4643814669588977,-0.29898761155253106,-2.1375788382194902
0.30833333333333346,2.6036388386754568,-3.4852869832023301,-0.3170320982524274,-2.196726063628915
0.31666666666666682,2.5745340973239754,-3.499667208628181,-0.33556788370256529,-2.2554678823930754
0.32500000000000018,2.5453349611261542,-3.5075396997563986,-0.35459165677608229,-2.3138220883810758
0.33333333333333354,2.516095524803621,-3.5089430008961107,-0.37410026699398119,-2.3718095949070168
0.3416666666666669,2.48686948334589,-3.5039355465882003,-0.39409074943661287,-2.4294541483223884
