Time,Theta,ThetaDot,X,XDot,Out1,Out2,Out3,Out4
1205.7464912999999,-0.010479332921861232,-0.0018837156032866214,3.3440937485344392e-07,8.5618735539126655e-05,0,0,0,0
1205.7627990000001,-0.011023241040610098,-0.13712161767723108,0.00026179851248949896,0.066838485037911788,0,0,0,0
1205.7788780999999,-0.011653059904800218,-0.0058505203978721238,0.00055873289699744685,0.00026591440482345678,0,0,0,0
1205.7952098000001,-0.011189173814805449,0.12539927689279901,0.00030090612399234204,-0.066305669279759449,0,0,0,0
1205.8113510000001,-0.0096309830666877743,0.25682670331002999,-0.0005117097422770462,-0.13288551387962924,0,0,0,0
1205.8271179000001,-0.0080179409332673205,0.12192052012416059,-0.0013583854987087726,-0.066147723570516251,0,0,0,0
1205.844245,-0.0075282221495984233,-0.012792001533219334,-0.0016489528500050674,0.00058143736037751664,0,0,0,0
1205.8606586999999,-0.0081609945740517033,-0.14751101734407432,-0.0013834489239983694,0.06731088476493409,0,0,0,0
1205.8777961999999,-0.0088753811823540796,-0.01572787061701586,-0.0010826698966859146,0.00071487407186541368,0,0,0,0
1205.8945133,-0.0084918542036923617,0.11601904972354883,-0.0013368447107837233,-0.065879463396339544,0,0,0,0
1205.9097632,-0.0070099374910006004,0.24792889058290762,-0.0021459954205327422,-0.13248133544209004,0,0,0,0
1205.9256556,-0.0054692306538263111,0.11348472323188481,-0.0029893847307847442,-0.065764380433875932,0,0,0,0
1205.9417811000001,-0.0050480443150727949,-0.020777868168497568,-0.0032768373872132813,0.00094443517221479145,0,0,0,0
1205.9579973,-0.0057456465964077124,-0.15505891790635806,-0.0030083862333812753,0.067654077084391515,0,0,0,0
1205.9739106,-0.0065212375070618283,-0.022843791843309202,-0.0027048246845681424,0.0010383306124451212,0,0,0,0
1205.9912638999999,-0.0061953568738775788,0.10932441765382489,-0.0029563795746650788,-0.065575257679230725,0,0,0,0
1206.0068321000001,-0.004767616969561626,0.24164503167885856,-0.0037630687724455074,-0.1321958598118172,0,0,0,0
1206.0228149,-0.0032777187563441642,0.10759792468691445,-0.0046041494369238462,-0.065496850373660515,0,0,0,0
1206.0386016,-0.0029040651189378244,-0.02627601424471938,-0.0048894417051806305,0.0011943574983554126,0,0,0,0
1206.0547102,-0.0036459938143328118,-0.16017670490598954,-0.0046189754397373134,0.067886770811618716,0,0,0,0
1206.0706849999999,-0.0044627600435226747,-0.027585779793520091,-0.0043135419341077232,0.0012538847669295739,0,0,0,0
1206.0871256,-0.0041749508070102505,0.1049511523233673,-0.0045633664878531608,-0.065376527333470047,0,0,0,0
1206.1030868,-0.0027822367930930357,0.23763355714018405,-0.005368464207750479,-0.13201360481576047,0,0,0,0
1206.1200322,-0.0013243837739391395,0.10393977151342441,-0.006208088697076228,-0.065330593359136532,0,0,0,0
1206.1358247000001,-0.00097985118509346151,-0.029585998991588296,-0.0064920573556004283,0.0013448154870381998,0,0,0,0
1206.1531321,-0.001748019305113235,-0.16314356404397987,-0.0062203982460406594,0.068021664335938897,0,0,0,0
1206.1691986000001,-0.0025881774353321229,-0.030212363018753151,-0.0059139012624840597,0.001373282597312943,0,0,0,0
1206.1852897000001,-0.0023209396904430904,0.10266096933745839,-0.0061627908363979817,-0.065272457535551803,0,0,0,0
1206.2024669,-0.00094600857102120832,0.23567602423659359,-0.0069670805549587687,-0.13192466444162737,0,0,0,0
1206.2188908999999,0.00049681667136471824,0.10231080708504142,-0.0078060221144615853,-0.065256553440618495,0,0,0,0
1206.2359437,0.00082905106227545164,-0.030888550158252724,-0.0080894317730955071,0.0014040224070563387,0,0,0,0
1206.2520423000001,5.1296786393874205e-05,-0.16412174747106514,-0.0078173369044215457,0.068066137900433171,0,0,0,0
1206.2680387,-0.00079574911250794307,-0.030867194507449069,-0.0075105267580216637,0.0014030517538442819,0,0,0,0
1206.2842289,-0.00053270815741494025,0.10232858305657194,-0.0077592256039080501,-0.065257361224404939,0,0,0,0
1206.3001081,0.0008407100419963073,0.23566529098614891,-0.0085634466462584605,-0.13192417874996312,0,0,0,0
1206.316071,0.0022847014495535147,0.1026216311117283,-0.0094024411457846631,-0.065270670405682213,0,0,0,0
1206.3331985,0.0026207844700255893,-0.030255426671294786,-0.0096860257003058177,0.001375239853223873,0,0,0,0
1206.3490962999999,0.0018495679196456321,-0.16316546794858416,-0.009414228088160316,0.06802265747648964,0,0,0,0
1206.3649190000001,0.0010117553249562451,-0.029586908896731365,-0.0091078376771367205,0.0013448567829243202,0,0,0,0
1206.3808882999999,0.0012867373484803811,0.10393486938574299,-0.0093570792932770527,-0.065330371101795057,0,0,0,0
1206.3978850999999,0.0026748214368171462,0.23759968271518275,-0.010161966853234507,-0.13201207189015216,0,0,0,0
1206.4144533000001,0.004136227083776119,0.10488800863402735,-0.011001752614475524,-0.065373659045570215,0,0,0,0
1206.4314365,0.0044925052354777761,-0.027653368672792552,-0.011286255024551998,0.0012569567049357773,0,0,0,0
1206.4486236,0.0037442959920249729,-0.16022390929755967,-0.011015503401509032,0.06788891155751893,0,0,0,0
1206.4643576999999,0.0029323296125701569,-0.02630317198455856,-0.010710287987101148,0.001195591787548936,0,0,0,0
1206.4814515999999,0.0032360287291703245,0.10756576978026705,-0.010960834867283234,-0.065495390353440819,0,0,0,0
1206.4982715000001,0.004655742774392152,0.24158284256079457,-0.011767159783624217,-0.13219304537042631,0,0,0,0
1206.5153642,0.0061517449164587828,0.10923166561081532,-0.012608517516474063,-0.065571044847048399,0,0,0,0
1206.5320985000001,0.0065456504149847775,-0.022942350333439547,-0.012894730049423823,0.0010428101940114553,0,0,0,0
1206.5492853999999,0.0058381571465017769,-0.15513852071742337,-0.012625829480343981,0.067657688251565581,0,0,0,0
1206.5651336999999,0.005070042840932272,-0.020839036769073449,-0.012322607655820873,0.0009472153660240127,0,0,0,0
1206.5823955000001,0.0054207822860565628,0.1134168743950713,-0.012575292577305141,-0.06576129946603243,0,0,0,0
1206.5987173999999,0.006890793904582887,0.24782925482390908,-0.013383902994964305,-0.13247682610119757,0,0,0,0
1206.6157145,0.0084404389455506879,0.11588681069041205,-0.014227697978565462,-0.06587345774521168,0,0,0,0
1206.6321158000001,0.0088914340583517697,-0.015868044032458454,-0.014516505083698577,0.00072124517429395744,0,0,0,0
1206.6488228999999,0.0082445647179210275,-0.14763445058720964,-0.014250360607979858,0.067316486341797668,0,0,0,0
1206.6644222,0.0075406775450649072,-0.012899413683909159,-0.013950058673618525,0.00058631950028033893,0,0,0,0
